trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04153399998904206,,0.00663459999486804,5,0.04153399998904206,0.04153399998904206,0.030953599998611026,1.0486411999881966,1.384427599987248,[0.10583333333333333],[-0.15416666666666667],[1],[0],[0],[1.351864399999613],[],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
1,0,1,0,1.4209783999976935,,1.3903419999987818,5,1.4209783999976935,1.4209783999976935,0.0214778999943519,2.432315699988976,2.570442099997308,[-0.14833333333333334],[-0.18666666666666668],[1],[0],[0],[1.1577585000050021],[],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
2,0,2,0,2.6061509999999544,,2.5757983999938006,5,2.6061509999999544,2.6061509999999544,0.023095600001397543,3.6161044999898877,4.301515999992262,[-0.45],[0.4575],[1],[0],[0],[1.7028886000043713],[],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
3,0,3,0,4.3577852999878814,,4.30668660000083,10,4.3577852999878814,4.3577852999878814,0.03702599999087397,5.365254599993932,5.516152099997271,[-0.17416666666666666],[0.4066666666666667],[1],[0],[0],[1.1731559999898309],[],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
4,0,4,0,5.576491999992868,,5.519217599998228,10,5.576491999992868,5.576491999992868,0.03663030000461731,6.5953584999952,7.072899899998447,[-0.18],[0.0275],[1],[0],[0],[1.517261500004679],['target'],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
5,0,5,0,7.100136499997461,,7.076164400001289,5,7.100136499997461,7.100136499997461,0.01622479999787174,8.115895199996885,8.40105699999549,[0.10166666666666667],[0.4725],[1],[0],[0],[1.3087127000035252],['target'],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
6,0,6,0,8.430744299999787,,8.405699599999934,5,8.430744299999787,8.430744299999787,0.017705499994917773,9.432113699993351,9.886116499998025,[0.4725],[0.14166666666666666],[1],[0],[0],[1.4625316000019666],['target'],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
7,0,7,0,9.916654000000563,,9.89060569999856,5,9.916654000000563,9.916654000000563,0.01867790000687819,10.932149699990987,11.38441069998953,[-0.09833333333333333],[-0.0975],[1],[0],[0],[1.475166200005333],[],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
8,0,8,0,11.419100200000685,,11.389047099990421,5,11.419100200000685,11.419100200000685,0.02220379999198485,12.43211799999699,12.784036999990349,[-0.35],[0.42833333333333334],[1],[0],[0],[1.3730612000072142],['target'],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
9,0,9,0,12.839830999990227,,12.788377499993658,10,12.839830999990227,12.839830999990227,0.03628770000068471,13.844045199992252,14.123206799995387,[-0.3358333333333333],[0.035833333333333335],[1],[0],[0],[1.2988984000112396],['target'],604336,001,2024-10-10_15h42.27.798,visual search,2024.1.5,None,2024-10-10 15h42.35.971291 +0530,
