WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0038888000417500734,0.013988199993036687,0.013988199993036687,3.6610100000398234,space,3.620823699980974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
,,,,,,,,,,,,,,,,,,,3.6610818000044674,3.6690441000973806,3.6690441000973806,14.451026600087062,space,10.775589899974875,None,,,,,,,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Africa ,Red,0,0,0,2,,,,,14.47973440005444,,,,,,,,,,,,,,,,14.470503800082952,14.47973440005444,16.465711000026204,16.465780200087465,16.482397700077854,16.9657581000356,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Brazil,Blue,0,1,1,6,,,,,16.989020200097002,,,,,,,,,,,,,,,,16.96638720005285,16.989020200097002,18.96630319999531,18.96634470007848,18.98284439998679,19.465803200029768,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
France,Blue,0,2,2,3,,,,,19.482266300008632,,,,,,,,,,,,,,,,19.46632780006621,19.482266300008632,21.466226499993354,21.466267300071195,21.482238000025973,21.964598200051114,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Egypt,Red,0,3,3,8,,,,,21.980786800035276,,,,,,,,,,,,,,,,21.96520000009332,21.980786800035276,23.965684900060296,23.96571900008712,23.981810500030406,24.46436760004144,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
India,Red,0,4,4,1,,,,,24.48047160007991,,,,,,,,,,,,,,,,24.46489579998888,24.48047160007991,26.465717300074175,26.46575870004017,26.482066399999894,26.965530800051056,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Argentina,Red,0,5,5,5,,,,,26.980657699983567,,,,,,,,,,,,,,,,26.96623170003295,26.980657699983567,28.965329400030896,28.965367200085893,28.981874700053595,29.464941899990663,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Japan,Red,0,6,6,0,,,,,29.4805517999921,,,,,,,,,,,,,,,,29.465503700077534,29.4805517999921,31.46563920006156,31.465673900092952,31.481119000003673,31.965683400048874,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Canada,Red,0,7,7,7,,,,,31.98095810005907,,,,,,,,,,,,,,,,31.96633060008753,31.98095810005907,33.96545470005367,33.96549130009953,33.9820369000081,34.4654784000013,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
