WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Germany,None,0,8,8,9,,,,,34.48187420004979,,,,,,,,,,,,,,,,34.46618580003269,34.48187420004979,36.46553470008075,36.465568399988115,36.481992900022306,36.96552180009894,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Russia,Red,0,9,9,4,,,,,36.98198530008085,,,,,,,,,,,,,,,,36.96614730008878,36.98198530008085,38.9643108000746,38.964341600076295,38.98235290008597,39.46526550000999,,,,,,,,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46543089998886,39.481797700049356,39.481797700049356,60.566462000017054,space,21.07506459997967,None,,,,,,,,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Brazil,Blue,,,,,0,0,0,6,60.58728970005177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.57545660005417,60.58728970005177,60.58728970005177,62.86701320006978,y,2.2706775000551715,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Egypt,Red,,,,,0,1,1,8,62.88113670004532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86942020000424,62.88113670004532,62.88113670004532,63.74874300009105,y,0.8574938999954611,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Europe,None,,,,,0,2,2,14,63.763178699999116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.74971520004328,63.763178699999116,63.763178699999116,65.00077869999222,n,1.2302922999951988,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Japan,Red,,,,,0,3,3,0,65.0136124000419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00162370002363,65.0136124000419,65.0136124000419,65.95046130008996,y,0.9278739999281242,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
America,None,,,,,0,4,4,12,65.96342720009852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.95155160001013,65.96342720009852,65.96342720009852,67.08271019998938,n,1.108513299957849,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
India,Red,,,,,0,5,5,1,67.09840360004455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0836711000884,67.09840360004455,67.09840360004455,67.81688300007954,y,0.7070511999772862,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Africa ,Red,,,,,0,6,6,2,67.83016260003205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8177964000497,67.83016260003205,67.83016260003205,68.85011230001692,y,1.00822259997949,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
France,Blue,,,,,0,7,7,3,68.86338730005082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.85089830006473,68.86338730005082,68.86338730005082,70.16603030008264,y,1.2899702000431716,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Russia,Red,,,,,0,8,8,4,70.17980350006837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.16680100001395,70.17980350006837,70.17980350006837,71.0476384999929,y,0.8563561999471858,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Turkey,None,,,,,0,9,9,10,71.06308970006648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.04832350008655,71.06308970006648,71.06308970006648,73.08142930001486,n,2.002123299986124,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
China,None,,,,,0,10,10,13,73.09701740008313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0823658000445,73.09701740008313,73.09701740008313,74.46595530002378,n,1.3636806999566033,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Germany,None,,,,,0,11,11,9,74.47997920005582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.46714840002824,74.47997920005582,74.47997920005582,75.249042200041,n,0.7551908000605181,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
England,None,,,,,0,12,12,11,75.26319850003347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2499938000692,75.26319850003347,75.26319850003347,76.09845230006613,n,0.8194262000033632,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Argentina,Red,,,,,0,13,13,5,76.11327580001671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.099546500016,76.11327580001671,76.11327580001671,76.88443530001678,y,0.7588450000621378,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
Canada,Red,,,,,0,14,14,7,76.89804090000689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88565120007843,76.89804090000689,76.89804090000689,80.19899489998352,y,3.287079499918036,None,,,,,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.19973610003944,80.21308480005246,83.2151281000115,83.19902040006127,815961,001,2024-11-24_22h12.02.862,short term memory,2024.1.5,None,2024-11-24 22h12.11.693864 +0530,
