reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.16024269995978102,,0.01846819999627769,0.16024269995978102,1.005628099956084,1.005628099956084,1.1722223999677226,1.8772566999541596,l,0.8577192999655381,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,0,1,1,1,1.8888283999986015,,1.87834880000446,1.8888283999986015,2.888917099975515,2.888917099975515,2.888917099975515,3.690773799957242,t,0.78793880000012,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,0,2,2,5,3.7058345999685116,,3.691151599981822,3.7058345999685116,4.706312700000126,4.706312700000126,4.706312700000126,5.106484699994326,t,0.39417599997250363,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,0,3,3,0,5.122100799984764,,5.106838399951812,5.122100799984764,6.122152899974026,6.122152899974026,6.122152899974026,6.540005599963479,l,0.40463780000573024,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,0,4,4,3,6.5556082999682985,,6.540697399992496,6.5556082999682985,7.555686499981675,7.555686499981675,7.555686499981675,8.173794999951497,l,0.6023177999886684,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,0,5,5,6,8.18913039995823,,8.174157599976752,8.18913039995823,9.189183299953584,9.189183299953584,9.189183299953584,9.47354399994947,t,0.28098949999548495,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,0,6,6,2,9.49008659995161,,9.474234299967065,9.49008659995161,10.489235499990173,10.489235499990173,10.506063499953598,10.923769199987873,l,0.42764399998122826,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,1,0,7,3,10.939481199951842,,10.924132499960251,10.939481199951842,11.939550899958704,11.939550899958704,11.939550899958704,12.239907899987884,t,0.28328929998679087,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,1,1,8,2,12.255889899970498,,12.24049679999007,12.255889899970498,13.25615759997163,13.25615759997163,13.25615759997163,14.406808200001251,t,1.146176599955652,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,1,2,9,5,14.422378099989146,,14.407423099968582,14.422378099989146,15.422018699988257,15.422018699988257,15.422018699988257,16.35655579995364,l,0.9203906999900937,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,1,3,10,4,16.372063899994828,,16.35705789999338,16.372063899994828,17.372378500003833,17.372378500003833,17.372378500003833,19.189954500005115,t,1.814098600007128,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,1,4,11,0,19.205538999987766,,19.190370699972846,19.205538999987766,20.205596399959177,20.205596399959177,20.205596399959177,20.806676399952266,t,0.599138000048697,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,1,5,12,1,20.822197499976028,,20.8070462999749,20.822197499976028,21.82237619999796,21.82237619999796,21.82237619999796,22.857291899970733,l,1.0229036000091583,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,1,6,13,6,22.871965800004546,,22.85864940000465,22.871965800004546,23.872295399953146,23.872295399953146,23.872295399953146,26.173362699977588,l,2.2931922000134364,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,2,0,14,0,26.18903519999003,,26.17403299995931,26.18903519999003,27.189247799979057,27.189247799979057,27.189247799979057,28.873298299964517,t,1.6810422000125982,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,2,1,15,4,28.88862209999934,,28.87368499999866,28.88862209999934,29.888716899964493,29.888716899964493,29.888716899964493,30.12297889997717,l,0.22271119995275512,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,2,2,16,5,30.13853159995051,,30.123390199965797,30.13853159995051,31.138671899971087,31.138671899971087,31.138671899971087,31.507280799967702,l,0.35867159999907017,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,2,3,17,1,31.521954499999993,,31.508103999949526,31.521954499999993,32.52213949995348,32.52213949995348,32.52213949995348,33.08982289995765,l,0.558580000011716,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,2,4,18,2,33.10538369999267,,33.090521799982525,33.10538369999267,34.10575039999094,34.10575039999094,34.10575039999094,34.47384529997362,t,0.35090580000542104,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,2,5,19,6,34.48858299996937,,34.47433259995887,34.48858299996937,35.488953199994285,35.488953199994285,35.488953199994285,35.957461199956015,t,0.46486750000622123,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,2,6,20,3,35.972983699990436,,35.958945699967444,35.972983699990436,36.97242249996634,36.97242249996634,36.97242249996634,37.38982849998865,t,0.40290149999782443,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,3,0,21,6,37.40507779998006,,37.39053019997664,37.40507779998006,38.405727999983355,38.405727999983355,38.405727999983355,38.72405939997407,l,0.3034548000432551,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,3,1,22,4,38.738710000005085,,38.724467399995774,38.738710000005085,39.738865999970585,39.738865999970585,39.738865999970585,40.15629699995043,l,0.4016784999985248,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,3,2,23,0,40.17156669998076,,40.15698649996193,40.17156669998076,41.172133499989286,41.172133499989286,41.172133499989286,41.4400085999514,l,0.25955389998853207,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,3,3,24,2,41.45569339999929,,41.4410121999681,41.45569339999929,42.45532449998427,42.45532449998427,42.45532449998427,44.68960729998071,t,2.219531900016591,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,3,4,25,3,44.705826099961996,,44.690467299951706,44.705826099961996,45.7053595999605,45.7053595999605,45.7053595999605,47.02320840000175,l,1.3086892999708652,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,3,5,26,5,47.03845039999578,,47.024180399952456,47.03845039999578,48.03867310000351,48.03867310000351,48.03867310000351,51.8899059999967,t,3.8422422000439838,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,3,6,27,1,51.90491209999891,,51.89078369998606,51.90491209999891,52.90513969998574,52.90513969998574,52.90513969998574,53.70646479999414,l,0.7879496999667026,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,4,0,28,6,53.721848399960436,,53.70684830000391,53.721848399960436,54.72197819995927,54.72197819995927,54.72197819995927,55.32289619999938,t,0.5871519999927841,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,4,1,29,3,55.338594599976204,,55.323376399988774,55.338594599976204,56.338562199962325,56.338562199962325,56.338562199962325,56.723011899972335,l,0.37131399998907,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,4,2,30,0,56.73872999998275,,56.72424959996715,56.73872999998275,57.738457799947355,57.738457799947355,57.738457799947355,58.106336599972565,t,0.35713570000370964,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,4,3,31,5,58.12166819995036,,58.106750799983274,58.12166819995036,59.12178619997576,59.12178619997576,59.12178619997576,59.389227099949494,l,0.25672529998701066,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,4,4,32,2,59.40521609998541,,59.38957289996324,59.40521609998541,60.405080099997576,60.405080099997576,60.405080099997576,62.422205699956976,t,2.0057139999698848,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,4,5,33,1,62.43814529996598,,62.42259209998883,62.43814529996598,63.421653099998366,63.421653099998366,63.4382991999737,63.78987869998673,l,0.3620348999975249,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,4,6,34,4,63.80518789996859,,63.79110869998112,63.80518789996859,64.80507389997365,64.80507389997365,64.80507389997365,65.87353059998713,t,1.056363700015936,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,5,0,35,3,65.88799149997067,,65.87449399998877,65.88799149997067,66.88849649997428,66.88849649997428,66.88849649997428,67.18952719995286,t,0.2901105000055395,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,5,1,36,6,67.20540259999689,,67.1899265999673,67.20540259999689,68.20541259995662,68.20541259995662,68.20541259995662,68.48963470000308,t,0.27930420002667233,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,5,2,37,2,68.50490739999805,,68.49069679999957,68.50490739999805,69.50517019996187,69.50517019996187,69.50517019996187,69.8898451999994,t,0.37930000002961606,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,5,3,38,0,69.90472930000396,,69.89094509999268,69.90472930000396,70.90541469998425,70.90541469998425,70.90541469998425,72.8741448999499,t,1.9656449999893084,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,5,4,39,5,72.88809739996213,,72.8746545999893,72.88809739996213,73.88823159999447,73.88823159999447,73.88823159999447,74.18922479997855,t,0.29709380003623664,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,5,5,40,4,74.20478639996145,,74.18973969999934,74.20478639996145,75.20491979998769,75.20491979998769,75.20491979998769,75.72282199998153,l,0.5147119000321254,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,5,6,41,1,75.73829769995064,,75.72339529998135,75.73829769995064,76.73836339998525,76.73836339998525,76.73836339998525,76.92238849995192,l,0.17576440004631877,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,6,0,42,6,76.93842759996187,,76.92311329999939,76.93842759996187,77.93837479996728,77.93837479996728,77.93837479996728,78.33920639997814,t,0.38475470000412315,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,6,1,43,3,78.3545398999704,,78.33977500000037,78.3545398999704,79.35485639999388,79.35485639999388,79.35485639999388,80.17306810000446,t,0.8105697000282817,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,6,2,44,0,80.18821799999569,,80.17386789998272,80.18821799999569,81.18804139998974,81.18804139998974,81.18804139998974,82.33938719995786,t,1.138528799987398,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,6,3,45,4,82.35486239998136,,82.34061469999142,82.35486239998136,83.35505689994898,83.35505689994898,83.35505689994898,83.45666199998232,l,0.09529149997979403,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,6,4,46,1,83.47150689997943,,83.45729649998248,83.47150689997943,84.47122789995046,84.47122789995046,84.47122789995046,84.80637429998023,l,0.32797719998052344,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,6,5,47,2,84.82101369998418,,84.80684969999129,84.82101369998418,85.82111979997717,85.82111979997717,85.82111979997717,85.97213409998221,l,0.13565720000769943,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,6,6,48,5,85.98775639996165,,85.97269629995571,85.98775639996165,86.98793529998511,86.98793529998511,86.98793529998511,87.30608759995084,l,0.3152183000347577,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,7,0,49,6,87.32119049999164,,87.30644199997187,87.32119049999164,88.32132970000384,88.32132970000384,88.32132970000384,89.03912879998097,l,0.7110666999942623,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,7,1,50,5,89.05472509999527,,89.0399638999952,89.05472509999527,90.05445820000023,90.05445820000023,90.05445820000023,90.35588210000424,t,0.2929666999843903,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,7,2,51,1,90.3710670999717,,90.35711869999068,90.3710670999717,91.37131879996741,91.37131879996741,91.37131879996741,91.78945499996189,t,0.4161098999902606,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,7,3,52,0,91.80462509999052,,91.78983329999028,91.80462509999052,92.80419120000442,92.80419120000442,92.80419120000442,93.2230916999979,t,0.40638790000230074,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,7,4,53,4,93.23793589998968,,93.22450419998495,93.23793589998968,94.2380884999875,94.2380884999875,94.2380884999875,94.78905959997792,t,0.5472119000041857,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,7,5,54,3,94.80480629997328,,94.78980479994789,94.80480629997328,95.80459939996945,95.80459939996945,95.80459939996945,96.38941629999317,t,0.5810235000099055,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,7,6,55,2,96.40476529998705,,96.39028549997602,96.40476529998705,97.40471229999093,97.40471229999093,97.40471229999093,98.10563169996021,l,0.6960681999917142,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,8,0,56,3,98.12064310000278,,98.10610759997508,98.12064310000278,99.12113699998008,99.12113699998008,99.12113699998008,99.48958929994842,l,0.3657126000034623,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,8,1,57,4,99.50409939995734,,99.49032859998988,99.50409939995734,100.50462079996942,100.50462079996942,100.50462079996942,100.8389350999496,l,0.3178336000419222,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,8,2,58,6,100.85417519998737,,100.83956969995052,100.85417519998737,101.8544014999643,101.8544014999643,101.8544014999643,102.58917759999167,t,0.7228609999874607,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,8,3,59,1,102.6049939999939,,102.58986929996172,102.6049939999939,103.60448310000356,103.60448310000356,103.60448310000356,104.20533559995238,l,0.5998227000236511,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,8,4,60,5,104.22075619996758,,104.20732960000169,104.22075619996758,105.22108849999495,105.22108849999495,105.22108849999495,106.92217219999293,l,1.6869270000024699,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,8,5,61,0,106.93747039994923,,106.92284819995984,106.93747039994923,107.9377035999787,107.9377035999787,107.9377035999787,108.22225559997605,l,0.275772099965252,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,8,6,62,2,108.23740579996957,,108.22268169996096,108.23740579996957,109.23813599999994,109.23813599999994,109.23813599999994,109.58871019998332,t,0.33653999998932704,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
49,60,89,9,0,63,4,109.60414039995521,,109.58921559998998,109.60414039995521,110.60435169999255,110.60435169999255,110.60435169999255,111.15564899996389,l,0.5418539000093006,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
11,30,7,9,1,64,0,111.17054039996583,,111.15638719999697,111.17054039996583,112.17118519998621,112.17118519998621,112.17118519998621,112.93842809996568,l,0.7645902000367641,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,9,2,65,6,112.95425309997518,,112.93876289995387,112.95425309997518,113.95422829996096,113.95422829996096,113.95422829996096,114.3388235999737,t,0.3821487999521196,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
15,35,13,9,3,66,1,114.35411889996612,,114.33927309996216,114.35411889996612,115.35466599999927,115.35466599999927,115.35466599999927,116.02170589996967,l,0.6521523999981582,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
40,55,62,9,4,67,3,116.03752299997723,,116.02210519998334,116.03752299997723,117.02071209996939,117.02071209996939,117.03749889996834,117.45614889997523,l,0.4297963000135496,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
27,50,21,9,5,68,2,117.47049759997753,,117.45711379998829,117.47049759997753,118.4709941999754,118.4709941999754,118.4709941999754,118.75542089994997,l,0.2683886999730021,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,9,6,69,5,118.7705883999588,,118.75638059998164,118.7705883999588,119.77080679999199,119.77080679999199,119.77080679999199,120.08840629999759,l,0.3116588999982923,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
67,75,119,10,0,70,5,120.10404409997864,,120.08890959998826,120.10404409997864,121.10424839996267,121.10424839996267,121.10424839996267,121.95581769995624,t,0.8361665999982506,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
78,80,162,10,1,71,6,121.97137409995776,,121.95667749998393,121.97137409995776,122.9706334999646,122.9706334999646,122.9706334999646,123.53837879997445,t,0.5604157000198029,None,329157,001,2024-11-15_16h15.43.414,delayed discounting,2024.1.5,None,2024-11-15 16h15.51.094332 +0530,
