WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.0167838,0.0219204,0.0219204,0.6692152,space,0.6385943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
,,,,,,,,,,,,,,,,,,,0.66926,0.6788549,0.6788549,6.2474216,space,5.5593644,None,,,,,,,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Japan,Red,0,0,0,0,,,,,6.2779775,,,,,,,,,,,,,,,,6.2623292,6.2779775,8.2618093,8.2618315,8.2782316,8.7616828,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Canada,Red,0,1,1,7,,,,,8.7783614,,,,,,,,,,,,,,,,8.7622095,8.7783614,10.7616808,10.7617018,10.7781651,11.2616583,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
India,Red,0,2,2,1,,,,,11.2780976,,,,,,,,,,,,,,,,11.2621645,11.2780976,13.2649554,13.2649779,13.2815484,13.7489227,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Egypt,Red,0,3,3,8,,,,,13.7662058,,,,,,,,,,,,,,,,13.7494293,13.7662058,15.7614856,15.7615064,15.7779684,16.2615195,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Africa ,Red,0,4,4,2,,,,,16.2779898,,,,,,,,,,,,,,,,16.2619945,16.2779898,18.264367,18.2644168,18.2806987,18.749732,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
France,Blue,0,5,5,3,,,,,18.7777733,,,,,,,,,,,,,,,,18.751389,18.7777733,20.7625556,20.762608,20.7784018,21.2622852,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Argentina,Red,0,6,6,5,,,,,21.2783055,,,,,,,,,,,,,,,,21.262917,21.2783055,23.2625591,23.2626096,23.278362,23.7620168,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Russia,Red,0,7,7,4,,,,,23.7802401,,,,,,,,,,,,,,,,23.7629504,23.7802401,25.7626032,25.7626562,25.7783835,26.262385,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Brazil,Blue,0,8,8,6,,,,,26.2801746,,,,,,,,,,,,,,,,26.2633237,26.2801746,28.2619791,28.2620138,28.2783637,28.7622453,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Germany,None,0,9,9,9,,,,,28.7806004,,,,,,,,,,,,,,,,28.7632808,28.7806004,30.762601,30.7626473,30.777954,31.2621348,,,,,,,,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26244,31.2785749,31.2785749,36.2318233,space,4.9358238,None,,,,,,,,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Brazil,Blue,,,,,0,0,0,6,36.251914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2420533,36.251914,36.251914,39.7642507,y,3.4972308,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
