WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Japan,Red,,,,,0,1,1,0,39.7779426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.765345,39.7779426,39.7779426,40.8792649,y,1.095652,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Canada,Red,,,,,0,2,2,7,40.8944502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8799444,40.8944502,40.8944502,41.6126297,y,0.70937,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
France,Blue,,,,,0,3,3,3,41.627846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6132721,41.627846,41.627846,42.3462094,y,0.7025746,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Europe,None,,,,,0,4,4,14,42.3611321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.346968,42.3611321,42.3611321,43.6795636,n,1.3145636,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Turkey,None,,,,,0,5,5,10,43.6951645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6802969,43.6951645,43.6951645,44.72934,n,1.02193,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Africa ,Red,,,,,0,6,6,2,44.7443197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7302629,44.7443197,44.7443197,45.7294028,n,0.9767299,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
America,None,,,,,0,7,7,12,45.7444722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.730158,45.7444722,45.7444722,46.5960984,n,0.8460556,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Russia,Red,,,,,0,8,8,4,46.6111723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5968089,46.6111723,46.6111723,47.8635926,y,1.2469438,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
England,None,,,,,0,9,9,11,47.877789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8646236,47.877789,47.877789,48.8460297,n,0.9516618,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
India,Red,,,,,0,10,10,1,48.860894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8472072,48.860894,48.860894,51.3633624,n,2.4911399,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Germany,None,,,,,0,11,11,9,51.3776661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3643318,51.3776661,51.3776661,52.1296996,n,0.7467844,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Egypt,Red,,,,,0,12,12,8,52.1442785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1304242,52.1442785,52.1442785,53.0810288,y,0.9324913,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
China,None,,,,,0,13,13,13,53.0947912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0818316,53.0947912,53.0947912,54.0302135,y,0.9326297,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
Argentina,Red,,,,,0,14,14,5,54.0441459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0311448,54.0441459,54.0441459,55.0127884,y,0.9536416,None,,,,,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0133822,55.0277721,58.0281612,58.0124025,390394,1,2024-11-23_19h11.51.258,short term memory,2024.1.5,None,2024-11-23 19h12.02.397956 +0530
