reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.14902970002731308,,0.0287567000486888,0.14902970002731308,1.0064005000167526,1.0064005000167526,1.1565916000399739,1.2458100000512786,l,0.22074120002798736,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
78,80,162,0,1,1,6,1.2561454000533558,,1.246590800001286,1.2561454000533558,2.2565781000303105,2.2565781000303105,2.2565781000303105,2.75803290004842,t,0.49330779997399077,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
15,35,13,0,2,2,1,2.773292099998798,,2.7584892000304535,2.773292099998798,3.773347400012426,3.773347400012426,3.773347400012426,4.125093900016509,t,0.34269809996476397,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
11,30,7,0,3,3,0,4.1402300000190735,,4.127255100000184,4.1402300000190735,5.139791599998716,5.139791599998716,5.139791599998716,5.691626800049562,l,0.5418507999856956,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
49,60,89,0,4,4,4,5.7062721000402234,,5.692063100053929,5.7062721000402234,6.706661700038239,6.706661700038239,6.706661700038239,7.225210700009484,t,0.5103828000137582,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
27,50,21,0,5,5,2,7.2395288000116125,,7.225789400050417,7.2395288000116125,8.24001639999915,8.24001639999915,8.24001639999915,8.724812000000384,t,0.470183499972336,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
67,75,119,0,6,6,5,8.73966720001772,,8.72608020005282,8.73966720001772,9.73997390002478,9.73997390002478,9.73997390002478,10.325502200052142,l,0.5792213999666274,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
49,60,89,1,0,7,4,10.339844100002665,,10.325899700052105,10.339844100002665,11.339696700044442,11.339696700044442,11.339696700044442,11.82478920003632,t,0.4689533999771811,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
40,55,62,1,1,8,3,11.839771600032691,,11.826242900046054,11.839771600032691,12.839884700020775,12.839884700020775,12.839884700020775,13.20858410000801,t,0.365658099995926,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
67,75,119,1,2,9,5,13.224278800014872,,13.209748700028285,13.224278800014872,14.223116100009065,14.223116100009065,14.239992200047709,14.674530200019944,t,0.4363730999757536,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
78,80,162,1,3,10,6,14.68966640002327,,14.675618300039787,14.68966640002327,15.68969210004434,15.68969210004434,15.68969210004434,16.258136400021613,t,0.5646077000419609,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
27,50,21,1,4,11,2,16.273518300033174,,16.258669600007124,16.273518300033174,17.273121600039303,17.273121600039303,17.273121600039303,17.674026200023945,l,0.38964109995868057,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
15,35,13,1,5,12,1,17.68994750001002,,17.674378300027456,17.68994750001002,18.689304600004107,18.689304600004107,18.689304600004107,18.92592930002138,l,0.22456110001076013,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
11,30,7,1,6,13,0,18.939732900005765,,18.926941900048405,18.939732900005765,19.940126900037285,19.940126900037285,19.940126900037285,20.008277000044473,l,0.06461419997503981,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
78,80,162,2,0,14,6,20.022996800020337,,20.009393400046974,20.022996800020337,21.02342610002961,21.02342610002961,21.02342610002961,22.657195600040723,l,1.6321828999789432,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
49,60,89,2,1,15,4,22.672789500036743,,22.657649000000674,22.672789500036743,23.672825500019826,23.672825500019826,23.672825500019826,24.242086600046605,l,0.5531754000112414,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
27,50,21,2,2,16,2,24.256144600047264,,24.243746799998917,24.256144600047264,25.256058700033464,25.256058700033464,25.256058700033464,26.390314400021452,t,1.1205377000151202,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
11,30,7,2,3,17,0,26.406005199998617,,26.390938700002152,26.406005199998617,27.406112399999984,27.406112399999984,27.406112399999984,27.675174700038042,l,0.2627951999893412,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
67,75,119,2,4,18,5,27.691658800002187,,27.676105300022755,27.691658800002187,28.68949680001242,28.68949680001242,28.706305400002748,28.85727920004865,l,0.15083230001619086,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
15,35,13,2,5,19,1,28.873407900042366,,28.858988100022543,28.873407900042366,29.873050500056706,29.873050500056706,29.873050500056706,30.358863000001293,t,0.472979000012856,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
40,55,62,2,6,20,3,30.375552600016817,,30.36043660005089,30.375552600016817,31.372871100029442,31.372871100029442,31.389389600022696,31.92446430004202,t,0.5473374000284821,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
40,55,62,3,0,21,3,31.939288800000213,,31.92489760002354,31.939288800000213,32.93935030000284,32.93935030000284,32.93935030000284,33.3917189000058,t,0.4348046000231989,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
49,60,89,3,1,22,4,33.40849960001651,,33.39260960003594,33.40849960001651,34.40635130001465,34.40635130001465,34.42270690004807,34.75868090003496,l,0.347664300003089,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
78,80,162,3,2,23,6,34.77258400002029,,34.76049710001098,34.77258400002029,35.77341310004704,35.77341310004704,35.77341310004704,36.174916800053325,l,0.38819190004142,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
27,50,21,3,3,24,2,36.18943600001512,,36.17583110003034,36.18943600001512,37.189880200021435,37.189880200021435,37.189880200021435,37.47424030001275,l,0.27409219997934997,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
67,75,119,3,4,25,5,37.49099390004994,,37.47529710002709,37.49099390004994,38.4894427000545,38.4894427000545,38.50598700001137,38.99168080004165,t,0.4868787999730557,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
15,35,13,3,5,26,1,39.00593550002668,,38.99290630000178,39.00593550002668,40.005996700027026,40.005996700027026,40.005996700027026,40.4586827000021,t,0.4412015000125393,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
11,30,7,3,6,27,0,40.473224900022615,,40.45984850003151,40.473224900022615,41.472688300011214,41.472688300011214,41.472688300011214,42.7906780000194,t,1.3087753999861889,None,475818,001,2024-11-15_16h19.30.320,delayed discounting,2024.1.5,None,2024-11-15 16h19.37.767480 +0530,
