reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.11972840002272278,,0.010106200003065169,0.11972840002272278,1.0045066000311635,1.0045066000311635,1.1215878000366502,2.2055782999959774,t,1.1953415999887511,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,0,1,1,5,2.2209429000504315,,2.2079690000391565,2.2209429000504315,3.2215214000316337,3.2215214000316337,3.2215214000316337,3.672386299993377,t,0.4464117999887094,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,0,2,2,6,3.68765269999858,,3.672773300029803,3.68765269999858,4.68811960000312,4.68811960000312,4.68811960000312,4.955587000004016,l,0.263527300034184,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,0,3,3,4,4.970915600017179,,4.955964600027073,4.970915600017179,5.971514500037301,5.971514500037301,5.971514500037301,6.222384100023191,l,0.2496476999949664,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,0,4,4,0,6.237606500042602,,6.222706800035667,6.237606500042602,7.237758900038898,7.237758900038898,7.237758900038898,7.939722100039944,l,0.690157100034412,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,0,5,5,3,7.954362200049218,,7.940488899999764,7.954362200049218,8.954741700028535,8.954741700028535,8.954741700028535,9.423022600007243,l,0.46216789999743924,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,0,6,6,2,9.437633600027766,,9.423585200041998,9.437633600027766,10.437313200032804,10.437313200032804,10.437313200032804,10.72190970001975,l,0.27967610000632703,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,1,0,7,0,10.7374611000414,,10.722327099996619,10.7374611000414,11.737588600022718,11.737588600022718,11.737588600022718,12.039123900001869,t,0.2900140999699943,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,1,1,8,3,12.054475700017065,,12.039786400040612,12.054475700017065,13.054891800042242,13.054891800042242,13.054891800042242,13.639021000009961,t,0.5774486999725923,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,1,2,9,6,13.65448640001705,,13.639783599996008,13.65448640001705,14.654501500015613,14.654501500015613,14.654501500015613,15.255857400014065,t,0.5926392000401393,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,1,3,10,5,15.27088740002364,,15.256481300049927,15.27088740002364,16.27133890002733,16.27133890002733,16.27133890002733,16.63846610003384,l,0.3540445999824442,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,1,4,11,1,16.654120700026397,,16.63898170000175,16.654120700026397,17.637744200008456,17.637744200008456,17.654632700025104,18.24001920002047,t,0.5896702000172809,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,1,5,12,2,18.254429600026924,,18.240981800016016,18.254429600026924,19.254550500016194,19.254550500016194,19.254550500016194,19.624238100019284,l,0.3538511999649927,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,1,6,13,4,19.637575900007505,,19.625257700041402,19.637575900007505,20.637808600033168,20.637808600033168,20.637808600033168,21.106102799996734,l,0.45133110001916066,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,2,0,14,2,21.120896900014486,,21.10709790000692,21.120896900014486,22.121384099998977,22.121384099998977,22.121384099998977,22.38800870004343,l,0.2525844000047073,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,2,1,15,4,22.40388160001021,,22.388373800029512,22.40388160001021,23.38756950001698,23.38756950001698,23.40461560001131,23.906911400030367,t,0.5092618000344373,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,2,2,16,3,23.920884700026363,,23.908042600029148,23.920884700026363,24.921322000038344,24.921322000038344,24.921322000038344,25.207308200013358,t,0.27330719999736175,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,2,3,17,1,25.220910700038075,,25.208337499992922,25.220910700038075,26.221243900014088,26.221243900014088,26.221243900014088,26.53999840002507,t,0.3017145000048913,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,2,4,18,0,26.554262200021185,,26.54112890001852,26.554262200021185,27.55444110004464,27.55444110004464,27.55444110004464,27.840301100048237,t,0.2824451000196859,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,2,5,19,5,27.85420190001605,,27.84124660002999,27.85420190001605,28.8546918000211,28.8546918000211,28.8546918000211,29.173407100024633,l,0.3091934000258334,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,2,6,20,6,29.187213900033385,,29.17430430004606,29.187213900033385,30.187589700042736,30.187589700042736,30.187589700042736,30.92274000000907,l,0.7199210999533534,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,3,0,21,4,30.937422000046354,,30.923576900037006,30.937422000046354,31.937636699993163,31.937636699993163,31.937636699993163,32.173323500028346,t,0.2279082999448292,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,3,1,22,0,32.18721010000445,,32.17415670002811,32.18721010000445,33.18762300000526,33.18762300000526,33.18762300000526,34.37310760002583,t,1.1803397000185214,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,3,2,23,5,34.38732280000113,,34.37402960000327,34.38732280000113,35.38759670004947,35.38759670004947,35.38759670004947,35.84003380005015,t,0.4444460999802686,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,3,3,24,3,35.85400260001188,,35.84111219999613,35.85400260001188,36.85417870001402,36.85417870001402,36.85417870001402,37.47251789999427,t,0.6021185000427067,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,3,4,25,6,37.487146500032395,,37.47324570000637,37.487146500032395,38.487176900031045,38.487176900031045,38.487176900031045,38.789466400048696,l,0.30000699998345226,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,3,5,26,2,38.804483900021296,,38.790192800050136,38.804483900021296,39.803943400038406,39.803943400038406,39.803943400038406,40.48952050000662,l,0.6690678000450134,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,3,6,27,1,40.504084300016984,,40.49056649999693,40.504084300016984,41.50397950003389,41.50397950003389,41.50397950003389,41.73973230004776,t,0.23188370000571012,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,4,0,28,0,41.75397910003085,,41.740709400037304,41.75397910003085,42.754292400029954,42.754292400029954,42.754292400029954,43.30657950002933,t,0.5493537999573164,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,4,1,29,1,43.320554200035986,,43.307550800032914,43.320554200035986,44.32089370000176,44.32089370000176,44.32089370000176,44.571608300029766,l,0.24387250002473593,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,4,2,30,2,44.587064400024246,,44.57210200000554,44.587064400024246,45.58726679999381,45.58726679999381,45.58726679999381,46.10734200000297,l,0.5168208999675699,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,4,3,31,5,46.120560300012585,,46.108294300036505,46.120560300012585,47.12088699999731,47.12088699999731,47.12088699999731,47.6729989000014,t,0.5445255000377074,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,4,4,32,3,47.68704980000621,,47.67383000004338,47.68704980000621,48.68724390002899,48.68724390002899,48.68724390002899,49.03924610000104,l,0.3409908000030555,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,4,5,33,6,49.05383540003095,,49.04014830000233,49.05383540003095,50.05426850001095,50.05426850001095,50.05426850001095,50.47315490001347,t,0.41085929999826476,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,4,6,34,4,50.486920099996496,,50.47413740004413,50.486920099996496,51.4870756000164,51.4870756000164,51.4870756000164,51.6060051000095,t,0.1020896999980323,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,5,0,35,0,51.62045450002188,,51.60706150002079,51.62045450002188,52.6207424000022,52.6207424000022,52.6207424000022,53.03949630004354,t,0.4102839999832213,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,5,1,36,3,53.05361370003084,,53.04050160001498,53.05361370003084,54.05378760001622,54.05378760001622,54.05378760001622,55.8070344000007,t,1.736852900008671,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,5,2,37,4,55.82034560001921,,55.808049500046764,55.82034560001921,56.820583100023214,56.820583100023214,56.820583100023214,57.13958340004319,l,0.30137420003302395,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,5,3,38,2,57.153946300037205,,57.140493100043386,57.153946300037205,58.154096300015226,58.154096300015226,58.154096300015226,58.489124900021125,l,0.3296505999751389,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,5,4,39,6,58.50387880002381,,58.49005439999746,58.50387880002381,59.50403280003229,59.50403280003229,59.50403280003229,59.8219342000084,t,0.3079256000346504,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,5,5,40,1,59.83671260002302,,59.8227179000387,59.83671260002302,60.83678170002531,60.83678170002531,60.83678170002531,61.15615729999263,t,0.30440600001020357,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,5,6,41,5,61.170372000022326,,61.15745640004752,61.170372000022326,62.17070000001695,62.17070000001695,62.17070000001695,62.823065000004135,t,0.6437006000196561,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
11,30,7,6,0,42,0,62.83679269999266,,62.82414040004369,62.83679269999266,63.83708300004946,63.83708300004946,63.83708300004946,64.05647360003786,l,0.21343760000308976,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
40,55,62,6,1,43,3,64.07039740000619,,64.05741670000134,64.07039740000619,65.0707539000432,65.0707539000432,65.0707539000432,65.27326600003289,t,0.20007379999151453,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,6,2,44,2,65.28669300000183,,65.27409990003798,65.28669300000183,66.2870821999968,66.2870821999968,66.2870821999968,66.43913590000011,l,0.1390938000404276,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
49,60,89,6,3,45,4,66.45335930003785,,66.44004710001172,66.45335930003785,67.45378179999534,67.45378179999534,67.45378179999534,68.10694190004142,t,0.648828900011722,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,6,4,46,5,68.12012110004434,,68.10795890004374,68.12012110004434,69.1205864000367,69.1205864000367,69.1205864000367,70.23806510004215,t,1.1007720999768935,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,6,5,47,6,70.25339160003932,,70.23886350000976,70.25339160003932,71.253332399996,71.253332399996,71.253332399996,73.10536790004699,t,1.8479954000213183,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
15,35,13,6,6,48,1,73.120234800037,,73.10623450001003,73.120234800037,74.12002870003926,74.12002870003926,74.12002870003926,75.54022419999819,t,1.4102906999760307,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
67,75,119,7,0,49,5,75.55341720004799,,75.54133239999646,75.55341720004799,76.55372690001968,76.55372690001968,76.55372690001968,77.18770250002854,l,0.6183427000069059,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
27,50,21,7,1,50,2,77.20331410004292,,77.18856890004827,77.20331410004292,78.20320089999586,78.20320089999586,78.20320089999586,78.70548360003158,l,0.4851853000000119,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
78,80,162,7,2,51,6,78.7200289000175,,78.70643760001985,78.7200289000175,79.7203518000315,79.7203518000315,79.7203518000315,80.35608520003734,t,0.6269392000394873,None,040635,001,2024-11-19_11h57.08.334,delayed discounting,2024.1.5,None,2024-11-19 11h57.14.337185 +0530,
