,mean value,standard deviation
study,0.86747,0.4712
test,0.69031,0.4144
,,
part,study,test
1,1.305414871,1.00873495
2,0.84627516,0.57827115
3,0.20809264,0.195968
4,1.329285567,1.213204
5,0.648287117,0.4553967
