study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Chart,,,,0,0,0,6,,,,,0.0515912,,0.0140892,0.0515912,0.0515912,7.1175027,2.003333333,7.0778487,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
mouse,,,,0,1,1,8,,,,,7.144017,,7.1180049,7.144017,7.144017,8.117637,2.003333333,0.9706131,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
phone,,,,0,2,2,2,,,,,8.141218,,8.1179956,8.141218,8.141218,8.9841126,2.003333333,0.8429713,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
Pastry,,,,0,3,3,9,,,,,9.0055836,,8.984444,9.0055836,9.0055836,10.5014437,1,1.4924284,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
cushion,,,,0,4,4,1,,,,,10.5191246,,10.5017969,10.5191246,10.5191246,11.5175473,1,0.9946158,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
board,,,,0,5,5,4,,,,,11.5378523,,11.5179052,11.5378523,11.5378523,12.4511696,1,0.910768,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
book,,,,0,6,6,0,,,,,12.4689336,,12.4515359,12.4689336,12.4689336,14.751005,1,2.2787381,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
marble,,,,0,7,7,3,,,,,14.7702653,,14.7513597,14.7702653,14.7702653,15.6011394,1,0.8282347,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
T-shirt,,,,0,8,8,7,,,,,15.6248232,,15.6014788,15.6248232,15.6248232,16.4339676,1,0.8062158,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
Laptop,,,,0,9,9,5,,,,,16.4549434,,16.434355,16.4549434,16.4549434,17.2016104,1,0.7429157,,,,,,,,,,,,,,,618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,c_sh_o_,cushion,old,,,,,0,0,0,1,17.2240886,,,,,,,,17.2094192,17.2240886,17.2240886,17.2240886,0.0123819,22.5165313,"cushion
",[-0.0775],[-0.275],[1],[0],[0],[5.301059399964288],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
