WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Germany,None,,,,,0,0,0,9,45.0516841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0442674,45.0516841,45.0516841,47.8530789,y,2.7875465,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Europe,None,,,,,0,1,1,14,47.868388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.854667,47.868388,47.868388,48.1189765,n,0.2426534,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Egypt,Red,,,,,0,2,2,8,48.1342118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1194023,48.1342118,48.1342118,48.3855032,y,0.2351906,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Brazil,Blue,,,,,0,3,3,6,48.4010278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3861029,48.4010278,48.4010278,48.5695206,n,0.1614318,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Canada,Red,,,,,0,4,4,7,48.5845651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5702671,48.5845651,48.5845651,48.8528386,y,0.2517342,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
America,None,,,,,0,5,5,12,48.868127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8534342,48.868127,48.868127,49.0196761,n,0.1492833,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
China,None,,,,,0,6,6,13,49.0345481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0201454,49.0345481,49.0345481,49.286448,y,0.2399496,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Russia,Red,,,,,0,7,7,4,49.3014098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.287106,49.3014098,49.3014098,49.435528,n,0.1310783,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Africa ,Red,,,,,0,8,8,2,49.4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.436182,49.4512,49.4512,49.6529711,y,0.2003312,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Argentina,Red,,,,,0,9,9,5,49.6676364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6536604,49.6676364,49.6676364,49.8362131,n,0.16449,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
India,Red,,,,,0,10,10,1,49.8511148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.837007,49.8511148,49.8511148,50.0531077,y,0.1911448,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
England,None,,,,,0,11,11,11,50.067763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0537589,50.067763,50.067763,50.219788,n,0.1395129,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Japan,Red,,,,,0,12,12,0,50.2342938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2208754,50.2342938,50.2342938,50.3854889,y,0.1368701,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Turkey,None,,,,,0,13,13,10,50.4011316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3862424,50.4011316,50.4011316,50.5529898,y,0.1488845,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
France,Blue,,,,,0,14,14,3,50.5678705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5536844,50.5678705,50.5678705,50.7357673,y,0.1620624,None,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7361096,50.7515054,53.7509641,53.7349663,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
