WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.0068264,0.011399,0.011399,0.9107227,space,0.8810385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
,,,,,,,,,,,,,,,,,,,0.910787,0.9186992,0.9186992,1.3368233,space,0.4022477,None,,,,,,,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Argentina,Red,0,0,0,5,,,,,1.3562375,,,,,,,,,,,,,,,,1.3474414,1.3562375,3.3524379,3.3524657,3.3685467,3.8527434,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
India,Red,0,1,1,1,,,,,3.8691489,,,,,,,,,,,,,,,,3.853229,3.8691489,5.8525014,5.8525303,5.8692292,6.3523893,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Egypt,Red,0,2,2,8,,,,,6.3689389,,,,,,,,,,,,,,,,6.352912,6.3689389,8.3527926,8.3528359,8.3689152,8.8519231,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Brazil,Blue,0,3,3,6,,,,,8.8684446,,,,,,,,,,,,,,,,8.8524458,8.8684446,10.8528738,10.8529153,10.8693811,11.3527663,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Germany,None,0,4,4,9,,,,,11.3685148,,,,,,,,,,,,,,,,11.3533927,11.3685148,13.3525529,13.352596,13.3690092,13.8527613,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Japan,Red,0,5,5,0,,,,,13.8686122,,,,,,,,,,,,,,,,13.8532719,13.8686122,15.8525875,15.8526342,15.8690195,16.3527673,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Canada,Red,0,6,6,7,,,,,16.3688334,,,,,,,,,,,,,,,,16.3533817,16.3688334,18.3529214,18.3529763,18.3688655,18.8530149,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
France,Blue,0,7,7,3,,,,,18.8684405,,,,,,,,,,,,,,,,18.8542005,18.8684405,20.8527702,20.8528101,20.869206,21.352547,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Africa ,Red,0,8,8,2,,,,,21.3688714,,,,,,,,,,,,,,,,21.3530086,21.3688714,23.352649,23.3526795,23.369106,23.8521704,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
Russia,Red,0,9,9,4,,,,,23.8684406,,,,,,,,,,,,,,,,23.852666,23.8684406,25.8529844,25.8530242,25.8688054,26.3528481,,,,,,,,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3530863,26.3690315,26.3690315,45.0357557,space,18.6623702,None,,,,,,,,,,,,502318,1,2024-11-24_22h13.47.683,short term memory,2024.1.5,None,2024-11-24 22h14.04.505504 +0530
