trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04470329999458045,,0.007947199992486276,5,0.04470329999458045,0.04470329999458045,0.034298499987926334,1.0544638999999734,1.9387011999933748,[-0.4691666666666667],[0.08083333333333333],[1],[0],[0],[1.9034601000021212],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
1,0,1,0,1.9968871000019135,,1.9443288000038592,10,1.9968871000019135,1.9968871000019135,0.03548989999399055,3.00765319999482,3.684383500003605,[-0.19166666666666668],[-0.4091666666666667],[1],[0],[0],[1.7047947999963071],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
2,0,2,0,3.7202076999965357,,3.689826300003915,5,3.7202076999965357,3.7202076999965357,0.021117700001923367,4.721637399998144,5.188882699992973,[0.13666666666666666],[0.10416666666666667],[1],[0],[0],[1.4784081000107108],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
3,0,3,0,5.223089699997217,,5.193032800001674,5,5.223089699997217,5.223089699997217,0.020387800002936274,6.237610700001824,6.674836799997138,[0.36833333333333335],[0.25416666666666665],[1],[0],[0],[1.4618156000069575],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
4,0,4,0,6.7074298999941675,,6.678105999992113,5,6.7074298999941675,6.7074298999941675,0.018732700002146885,7.721996499996749,8.038409000000684,[0.03],[-0.0725],[1],[0],[0],[1.3417398999881698],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
5,0,5,0,8.09358109999448,,8.042580199995427,10,8.09358109999448,8.09358109999448,0.03493809999781661,9.121027100001811,10.336061499998323,[0.43083333333333335],[-0.30416666666666664],[1],[0],[0],[2.258877100000973],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
6,0,6,0,10.39633909999975,,10.339285299996845,10,10.39633909999975,10.39633909999975,0.0348626999912085,11.408233099995414,12.026602600002661,[0.39416666666666667],[0.13583333333333333],[1],[0],[0],[1.6526111999992281],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
7,0,7,0,12.058484299996053,,12.029941300002974,5,12.058484299996053,12.058484299996053,0.019937799996114336,13.071208499997738,13.458047299995087,[0.3958333333333333],[-0.1975],[1],[0],[0],[1.4082648999901721],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
8,0,8,0,13.491950099996757,,13.462400100004743,5,13.491950099996757,13.491950099996757,0.021457099996041507,14.504321500004153,15.488370699997176,[0.1725],[-0.4525],[1],[0],[0],[2.0051415000052657],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
9,0,9,0,15.543605899991235,,15.492064699996263,10,15.543605899991235,15.543605899991235,0.03502219999791123,16.56261429999722,17.059897999992245,[0.13666666666666666],[-0.1325],[1],[0],[0],[1.533007699996233],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
10,0,10,0,17.09728429999086,,17.066009100002702,5,17.09728429999086,17.09728429999086,0.02090469999529887,18.104005899993354,18.53889569999592,[-0.4816666666666667],[0.36],[1],[0],[0],[1.452643699987675],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
11,0,11,0,18.572807100004866,,18.542869099997915,5,18.572807100004866,18.572807100004866,0.020627300007618032,19.57079499999236,20.272775899997214,[-0.4533333333333333],[-0.15166666666666667],[1],[0],[0],[1.7096465000067838],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
12,0,12,0,20.306097699998645,,20.276328799998737,5,20.306097699998645,20.306097699998645,0.019925899992813356,21.32128809999267,22.539915499990457,[0.22583333333333333],[-0.4125],[1],[0],[0],[2.2438882000133162],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
13,0,13,0,22.599784899997758,,22.543789799994556,10,22.599784899997758,22.599784899997758,0.03580569999758154,23.61093379999511,24.377055000004475,[0.023333333333333334],[-0.165],[1],[0],[0],[1.7977030999900308],[],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
14,0,14,0,24.40881310000259,,24.380309600004693,5,24.40881310000259,24.40881310000259,0.019425700011197478,25.421862200004398,25.806244699997478,[0.06583333333333333],[0.12583333333333332],[1],[0],[0],[1.4066209999873536],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
15,0,15,0,25.866297000000486,,25.810291400004644,10,25.866297000000486,25.866297000000486,0.0359145999973407,26.874274899993907,27.45063730000402,[-0.15916666666666668],[0.43333333333333335],[1],[0],[0],[1.604646200008574],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
16,0,16,0,27.51203739999619,,27.453753299996606,10,27.51203739999619,27.51203739999619,0.03571399999782443,28.53722869999183,29.137967399990885,[0.21416666666666667],[0.365],[1],[0],[0],[1.648855299994466],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
17,0,17,0,29.17584959999658,,29.14115349999338,5,29.17584959999658,29.17584959999658,0.024762400003965013,30.247407499991823,30.174416800000472,[0.32166666666666666],[0.11666666666666667],[1],[0],[0],[1.008337000006577],['target'],067869,001,2024-10-10_16h13.41.212,visual search,2024.1.5,None,2024-10-10 16h13.49.054253 +0530,
